tf	tg	regtype	source	evidence
gadx	rpos	+	[gea]	weak	
gadx	slp	+	[aibscs, bpp, gea, hibscs]	weak	
gadx	uspe	+	[gea]	weak	
gadx	ybas	+	[gea]	weak	
gadx	ybat	+	[gea]	weak	
gadx	yhid	+-	[aibscs, bpp, gea, hibscs]	weak	
galr	gale	+	[bpp, gea, hibscs, sm]	strong	
galr	gale	-	[bpp, gea, hibscs, sm]	strong	
galr	galk	+	[bpp, gea, hibscs, sm]	strong	
galr	galk	-	[bpp, gea, hibscs, sm]	strong	
galr	galm	+	[bpp, gea, hibscs, sm]	strong	
galr	galm	-	[bpp, gea, hibscs, sm]	strong	
galr	galp	-	[aibscs, bpp, gea, hibscs, sm]	weak	
galr	galr	-	[bpp, gea, hibscs]	strong	
galr	gals	-	[gea, hibscs]	weak	
galr	galt	+	[bpp, gea, hibscs, sm]	strong	
galr	galt	-	[bpp, gea, hibscs, sm]	strong	
galr	mgla	-	[gea, hibscs]	weak	
galr	mglb	-	[gea, hibscs]	weak	
galr	mglc	-	[gea, hibscs]	weak	
gals	gale	+	[bpp, gea, hibscs]	strong	
gals	gale	-	[bpp, gea, hibscs]	strong	
gals	galk	+	[bpp, gea, hibscs]	strong	
gals	galk	-	[bpp, gea, hibscs]	strong	
gals	galm	+	[bpp, gea, hibscs]	strong	
gals	galm	-	[bpp, gea, hibscs]	strong	
gals	galp	-	[aibscs, bpp, gea, sm]	weak	
gals	galr	-	[gea, hibscs]	weak	
gals	gals	-	[bce, gea]	weak	
gals	galt	+	[bpp, gea, hibscs]	strong	
gals	galt	-	[bpp, gea, hibscs]	strong	
gals	mgla	-	[gea, hibscs]	weak	
gals	mglb	-	[gea, hibscs]	weak	
gals	mglc	-	[gea, hibscs]	weak	
gatr	gata	-	[gea]	weak	
gatr	gatb	-	[gea]	weak	
gatr	gatc	-	[gea]	weak	
gatr	gatd	-	[gea]	weak	
gatr	gaty	-	[gea]	weak	
gatr	gatz	-	[gea]	weak	
gcva	gcva	-	[aibscs, bce, bpp, gea, hibscs, ic, sm]	weak	
gcva	gcvb	+	[aibscs, bce, bpp, gea, hibscs, ic, sm]	weak	
gcva	gcvh	+-	[bce, bpp, gea, hibscs, sm]	weak	
gcva	gcvh	-	[bce, bpp, gea, hibscs, ic, sm]	weak	
gcva	gcvp	+-	[bce, bpp, gea, hibscs, sm]	weak	
gcva	gcvp	-	[bce, bpp, gea, hibscs, ic, sm]	weak	
gcva	gcvt	+-	[bce, bpp, gea, hibscs, sm]	weak	
gcva	gcvt	-	[bce, bpp, gea, hibscs, ic, sm]	weak	
glcc	glca	+	[bce, gea, sm]	weak	
glcc	glcb	+	[bce, gea, sm]	weak	
glcc	glcc	-	[bce, gea, sm]	weak	
glcc	glcd	+	[bce, gea, sm]	weak	
glcc	glce	+	[bce, gea, sm]	weak	
glcc	glcf	+	[bce, gea, sm]	weak	
glcc	glcg	+	[bce, gea, sm]	weak	
glpr	glpa	-	[bpp, hibscs, sm]	strong	
glpr	glpb	-	[bpp, hibscs, sm]	strong	
glpr	glpc	-	[bpp, hibscs, sm]	strong	
glpr	glpd	-	[bpp, gea, hibscs, sm]	strong	
glpr	glpf	-	[bpp, hibscs]	strong	
glpr	glpk	-	[bpp, hibscs]	strong	
glpr	glpq	-	[bpp, gea, hibscs, sm]	strong	
glpr	glpt	-	[bpp, gea, hibscs, sm]	strong	
glpr	glpx	-	[bpp, hibscs]	strong	
glrr	glmy	+	[bpp, gea, hibscs, sm]	strong	
glrr	rpoe	+	[bpp, gea, hibscs]	strong	
glrr	rsea	+	[bpp, gea, hibscs]	strong	
glrr	rseb	+	[bpp, gea, hibscs]	strong	
glrr	rsec	+	[bpp, gea, hibscs]	strong	
gntr	eda	-	[aibscs, bpp, hibscs, sm]	weak	
gntr	edd	-	[aibscs, bpp, hibscs, sm]	weak	
gntr	gntk	-	[aibscs, bpp, gea, hibscs, sm]	weak	
gntr	gntt	-	[aibscs, bpp, gea, hibscs, tases]	weak	
gntr	gntu	-	[aibscs, bpp, gea, hibscs, sm]	weak	
gntr	gntx	-	[aibscs]	weak	
gntr	idnd	-	[aibscs, gea, hibscs]	weak	
gntr	idnk	-	[aibscs, gea, hibscs]	weak	
gntr	idno	-	[aibscs, gea, hibscs]	weak	
gntr	idnr	-	[aibscs, gea, hibscs]	weak	
gntr	idnt	-	[aibscs, gea, hibscs]	weak	
gntr	nfua	-	[aibscs]	weak	
gutm	gutm	+	[gea]	weak	
gutm	gutq	+	[gea]	weak	
gutm	srla	+	[gea]	weak	
gutm	srlb	+	[gea]	weak	
gutm	srld	+	[gea]	weak	
gutm	srle	+	[gea]	weak	
gutm	srlr	+	[gea]	weak	
gutr	gutm	-	[gea]	weak	
gutr	gutq	-	[gea]	weak	
gutr	srla	-	[gea]	weak	
gutr	srlb	-	[gea]	weak	
gutr	srld	-	[gea]	weak	
gutr	srle	-	[gea]	weak	
gutr	srlr	-	[gea]	weak	
h-ns	acre	-	[gea]	weak	
h-ns	acrf	-	[gea]	weak	
h-ns	aded	-	[gea]	weak	
h-ns	adia	-	[gea]	weak	
h-ns	adiy	-	[bpp]	strong	
h-ns	alau	-	[gea]	weak	
h-ns	alav	-	[gea]	weak	
h-ns	appy	-	[bpp, gea]	strong	
h-ns	asr	-	[gea, imp]	weak	
h-ns	bglb	-	[bpp, gea]	strong	
h-ns	bglf	-	[bpp, gea]	strong	
h-ns	bglg	-	[bpp, gea]	strong	
h-ns	bglj	-	[bpp]	strong	
h-ns	bola	-	[gea]	weak	
h-ns	cada	-	[aibscs, bpp, gea]	weak	
h-ns	cadb	-	[aibscs, bpp, gea]	weak	
h-ns	cadc	-	[bpp]	strong	
h-ns	caia	-	[imp]	weak	
h-ns	caib	-	[imp]	weak	
h-ns	caic	-	[imp]	weak	
h-ns	caid	-	[imp]	weak	
h-ns	caie	-	[imp]	weak	
h-ns	caif	-	[gea]	weak	
h-ns	cait	-	[imp]	weak	
h-ns	cas1	-	[bpp, gea]	strong	
h-ns	cas2	-	[bpp, gea]	strong	
h-ns	casa	-	[bpp, gea]	strong	
h-ns	casb	-	[bpp, gea]	strong	
h-ns	casc	-	[bpp, gea]	strong	
h-ns	casd	-	[bpp, gea]	strong	
h-ns	case	-	[bpp, gea]	strong	
h-ns	chia	-	[bpp, gea]	strong	
h-ns	cmom	+	[gea]	weak	
h-ns	csid	+	[gea]	weak	
h-ns	csie	+	[gea]	weak	
h-ns	cspa	-	[aibscs, bpp, gea]	weak	
h-ns	cspd	+	[gea]	weak	
h-ns	cyda	-	[bpp, gea]	strong	
h-ns	cydb	-	[bpp, gea]	strong	
h-ns	cysa	-	[gea]	weak	
h-ns	cysg	-	[bpp, gea]	strong	
h-ns	cysm	-	[gea]	weak	
h-ns	cysp	-	[gea]	weak	
h-ns	cysu	-	[gea]	weak	
h-ns	cysw	-	[gea]	weak	
h-ns	dctr	-	[bpp]	strong	
h-ns	degp	-	[gea]	weak	
h-ns	dps	-	[bpp, gea, hibscs]	strong	
h-ns	entf	+	[gea]	weak	
h-ns	evga	-	[bpp]	strong	
h-ns	evgs	-	[bpp]	strong	
h-ns	fau	-	[bpp, gea]	strong	
h-ns	fepe	+	[gea]	weak	
h-ns	fes	+	[gea]	weak	
h-ns	fima	+	[bpp, gea]	strong	
h-ns	fimb	-	[bpp, gea]	strong	
h-ns	fimc	+	[bpp, gea]	strong	
h-ns	fimd	+	[bpp, gea]	strong	
h-ns	fime	-	[bpp, gea]	strong	
h-ns	fimf	+	[bpp, gea]	strong	
h-ns	fimg	+	[bpp, gea]	strong	
h-ns	fimh	+	[bpp, gea]	strong	
h-ns	fimi	+	[bpp, gea]	strong	
h-ns	flhc	+	[bpp, gea]	strong	
h-ns	flhd	+	[bpp, gea]	strong	
h-ns	flia	+	[gea, imp]	weak	
h-ns	flic	+	[gea]	weak	
h-ns	fliz	+	[gea, imp]	weak	
h-ns	ftna	-	[bpp, gea]	strong	
h-ns	gabd	+	[gea]	weak	
h-ns	gabp	+	[gea]	weak	
h-ns	gabt	+	[gea]	weak	
h-ns	gada	-	[bpp, gea]	strong	
h-ns	gade	-	[bpp]	strong	
h-ns	gadf	-	[bpp]	strong	
h-ns	gadw	-	[bpp, gea]	strong	
h-ns	gadx	-	[bpp, gea]	strong	
h-ns	gale	-	[bpp]	strong	
h-ns	galk	-	[bpp]	strong	
h-ns	galm	-	[bpp]	strong	
h-ns	galt	-	[bpp]	strong	
h-ns	gark	-	[gea]	weak	
h-ns	garl	-	[gea]	weak	
h-ns	garp	-	[gea]	weak	
h-ns	garr	-	[gea]	weak	
h-ns	gltt	-	[bpp]	strong	
h-ns	gltu	-	[gea]	weak	
h-ns	gltw	-	[gea, tas]	weak	
h-ns	gspa	-	[bpp, gea]	strong	
h-ns	gspb	-	[bpp, gea]	strong	
h-ns	gspc	-	[bpp, gea]	strong	
h-ns	gspd	-	[bpp, gea]	strong	
h-ns	gspe	-	[bpp, gea]	strong	
h-ns	gspf	-	[bpp, gea]	strong	
h-ns	gspg	-	[bpp, gea]	strong	
h-ns	gsph	-	[bpp, gea]	strong	
h-ns	gspi	-	[bpp, gea]	strong	
h-ns	gspj	-	[bpp, gea]	strong	
h-ns	gspk	-	[bpp, gea]	strong	
h-ns	gspl	-	[bpp, gea]	strong	
h-ns	gspm	-	[bpp, gea]	strong	
h-ns	gspo	-	[bpp, gea]	strong	
h-ns	gutm	+	[gea]	weak	
h-ns	gutq	+	[gea]	weak	
h-ns	hcha	-	[bpp, gea]	strong	
h-ns	hdea	-	[bpp, gea, hibscs]	strong	
h-ns	hdeb	-	[bpp, gea, hibscs]	strong	
h-ns	hded	-	[bpp, gea]	strong	
h-ns	hdfr	-	[bpp]	strong	
h-ns	hisj	+	[gea]	weak	
h-ns	hism	+	[gea]	weak	
h-ns	hisp	+	[gea]	weak	
h-ns	hisq	+	[gea]	weak	
h-ns	hlye	+-	[bpp, gea]	strong	
h-ns	hns	-	[bpp, gea, hibscs]	strong	
h-ns	ileu	-	[gea]	weak	
h-ns	ilev	-	[gea]	weak	
h-ns	ilvh	-	[gea]	weak	
h-ns	ilvi	-	[gea]	weak	
h-ns	laca	-	[bpp]	strong	
h-ns	lacy	-	[bpp]	strong	
h-ns	lacz	-	[bpp]	strong	
h-ns	leuo	-	[bpp, gea, hibscs]	strong	
h-ns	lhgo	+	[gea]	weak	
h-ns	lrp	-	[bpp, gea]	strong	
h-ns	maze	+	[gea]	weak	
h-ns	mazf	+	[gea]	weak	
h-ns	mdte	-	[bpp]	strong	
h-ns	mdtf	-	[bpp]	strong	
h-ns	micf	-	[gea]	weak	
h-ns	mukb	+	[gea]	weak	
h-ns	muke	+	[gea]	weak	
h-ns	mukf	+	[gea]	weak	
h-ns	nhaa	-	[gea]	weak	
h-ns	nhar	-	[gea]	weak	
h-ns	nirb	-	[bpp, gea]	strong	
h-ns	nirc	-	[bpp, gea]	strong	
h-ns	nird	-	[bpp, gea]	strong	
h-ns	nrda	-	[bpp, gea, hibscs, sm]	strong	
h-ns	nrdb	-	[bpp, gea, hibscs, sm]	strong	
h-ns	nrdd	-	[bpp, gea]	strong	
h-ns	nrdg	-	[bpp, gea]	strong	
h-ns	osmc	-	[gea]	weak	
h-ns	prov	-	[aibscs, bpp, gea]	weak	
h-ns	prow	-	[aibscs, bpp, gea]	weak	
h-ns	prox	-	[aibscs, bpp, gea]	weak	
h-ns	rcsa	-	[gea]	weak	
h-ns	rcsb	-	[bpp]	strong	
h-ns	rcsd	-	[bpp]	strong	
h-ns	rela	+	[gea]	weak	
h-ns	rnpb	-	[gea]	weak	
h-ns	rrfb	-	[bpp]	strong	
h-ns	rrfc	-	[gea]	weak	
h-ns	rrfd	-	[gea]	weak	
h-ns	rrff	-	[gea]	weak	
h-ns	rrfg	-	[gea, tas]	weak	
h-ns	rrfh	-	[gea]	weak	
h-ns	rrlb	-	[bpp]	strong	
h-ns	rrlc	-	[gea]	weak	
h-ns	rrld	-	[gea]	weak	
h-ns	rrlg	-	[gea, tas]	weak	
h-ns	rrlh	-	[gea]	weak	
h-ns	rrsb	-	[bpp]	strong	
h-ns	rrsc	-	[gea]	weak	
h-ns	rrsd	-	[gea]	weak	
h-ns	rrsg	-	[gea, tas]	weak	
h-ns	rrsh	-	[gea]	weak	
h-ns	slp	-	[bpp]	strong	
h-ns	srla	+	[gea]	weak	
h-ns	srlb	+	[gea]	weak	
h-ns	srld	+	[gea]	weak	
h-ns	srle	+	[gea]	weak	
h-ns	srlr	+	[gea]	weak	
h-ns	ssrs	-	[bpp, gea]	strong	
h-ns	stpa	-	[bce, bpp, gea]	weak	
h-ns	tcyj	+	[gea, imp]	weak	
h-ns	thrv	-	[gea]	weak	
h-ns	ybdz	+	[gea]	weak	
h-ns	ycie	-	[bpp, gea, hibscs]	strong	
h-ns	ycif	-	[bpp, gea, hibscs]	strong	
h-ns	ycig	-	[bpp, gea, hibscs]	strong	
h-ns	ydeo	-	[bpp]	strong	
h-ns	ydep	-	[bpp]	strong	
h-ns	yfae	-	[bpp, gea, hibscs, sm]	strong	
h-ns	yhid	-	[bpp, gea, hibscs]	strong	
h-ns	yhim	-	[bpp]	strong	
h-ns	yjjp	-	[bpp]	strong	
h-ns	yjjq	-	[bpp]	strong	
hu	gale	-	[bpp, gea]	strong	
hu	galk	-	[bpp, gea]	strong	
hu	galm	-	[bpp, gea]	strong	
hu	galt	-	[bpp, gea]	strong	
hu	micf	+	[gea]	weak	
hu	mtr	-	[gea]	weak	
hu	pgm	-	[gea]	weak	
hu	seqa	-	[gea]	weak	
hu	tyrp	-	[gea]	weak	
hcar	hcab	+	[aibscs, bpp, gea]	weak	
hcar	hcac	+	[aibscs, bpp, gea]	weak	
hcar	hcad	+	[aibscs, bpp, gea]	weak	
hcar	hcae	+	[aibscs, bpp, gea]	weak	
hcar	hcaf	+	[aibscs, bpp, gea]	weak	
hcar	hcar	-	[aibscs, bpp, gea]	weak	
hdfr	flhc	-	[bpp, gea]	strong	
hdfr	flhd	-	[bpp, gea]	strong	
hdfr	gltb	+	[bpp]	strong	
hdfr	gltd	+	[bpp]	strong	
hdfr	gltf	+	[bpp]	strong	
higa	higa	-	[bpp, ihbce]	strong	
higa	higb	-	[bpp, ihbce]	strong	
higb-higa	higa	-	[bpp, ihbce]	strong	
higb-higa	higb	-	[bpp, ihbce]	strong	
hipab	hipa	-	[bpp, gea, hibscs]	strong	
hipab	hipb	-	[bpp, gea, hibscs]	strong	
hipab	maze	-	[bpp, gea]	strong	
hipab	mazf	-	[bpp, gea]	strong	
hipab	rela	-	[bpp, gea]	strong	
hipb	fadh	-	[bpp, gea, hibscs]	strong	
hipb	hipa	-	[bpp, gea, hibscs]	strong	
hipb	hipb	-	[bpp, gea, hibscs]	strong	
hipb	maze	-	[aibscs, bpp, gea]	weak	
hipb	mazf	-	[aibscs, bpp, gea]	weak	
hipb	rela	-	[aibscs, bpp, gea]	weak	
hyfr	focb	+	[aibscs, gea]	weak	
hyfr	hyfa	+	[aibscs, gea]	weak	
hyfr	hyfb	+	[aibscs, gea]	weak	
hyfr	hyfc	+	[aibscs, gea]	weak	
hyfr	hyfd	+	[aibscs, gea]	weak	
hyfr	hyfe	+	[aibscs, gea]	weak	
hyfr	hyff	+	[aibscs, gea]	weak	
hyfr	hyfg	+	[aibscs, gea]	weak	
hyfr	hyfh	+	[aibscs, gea]	weak	
hyfr	hyfi	+	[aibscs, gea]	weak	
hyfr	hyfj	+	[aibscs, gea]	weak	
hyfr	hyfr	+	[aibscs, gea]	weak	
hypt	cyda	+	[bpp, gea]	strong	
hypt	cydb	+	[bpp, gea]	strong	
hypt	cysh	+	[gea]	weak	
hypt	feca	-	[gea]	weak	
hypt	fecb	-	[gea]	weak	
hypt	fecc	-	[gea]	weak	
hypt	fecd	-	[gea]	weak	
hypt	fece	-	[gea]	weak	
hypt	metb	+	[gea]	weak	
hypt	meti	+	[bpp, gea]	strong	
hypt	metl	+	[gea]	weak	
hypt	metn	+	[bpp, gea]	strong	
hypt	metq	+	[bpp, gea]	strong	
ihf	acea	+	[bpp, gea]	strong	
ihf	aceb	+	[bpp, gea]	strong	
ihf	acek	+	[bpp, gea]	strong	
ihf	acs	-	[aibscs, bpp, gea, sm]	weak	
ihf	actp	-	[aibscs, bpp, gea, sm]	weak	
ihf	adia	+	[gea, sm]	weak	
ihf	amia	-	[hibscs]	weak	
ihf	atoa	+	[gea, hibscs, sm]	weak	
ihf	atob	+	[gea, hibscs, sm]	weak	
ihf	atod	+	[gea, hibscs, sm]	weak	
ihf	atoe	+	[gea, hibscs, sm]	weak	
ihf	cara	+-	[bce, bpp, gea, hibscs, sm]	weak	
ihf	carb	+-	[bce, bpp, gea, hibscs, sm]	weak	
ihf	csgd	+	[bpp, gea]	strong	
ihf	csge	+	[bpp, gea]	strong	
ihf	csgf	+	[bpp, gea]	strong	
ihf	csgg	+	[bpp, gea]	strong	
ihf	cysg	+	[bpp, gea, hibscs]	strong	
ihf	cysg	-	[bce, bpp, gea]	weak	
ihf	cysh	+	[bpp, gea]	strong	
ihf	cysi	+	[bpp, gea]	strong	
ihf	cysj	+	[bpp, gea]	strong	
ihf	dcud	+	[hibscs]	weak	
ihf	dmsa	-	[bpp, gea, hibscs]	strong	
ihf	dmsb	-	[bpp, gea, hibscs]	strong	
ihf	dmsc	-	[bpp, gea, hibscs]	strong	
ihf	dppa	+	[bce]	weak	
ihf	dppb	+	[bce]	weak	
ihf	dppc	+	[bce]	weak	
ihf	dppd	+	[bce]	weak	
ihf	dppf	+	[bce]	weak	
ihf	dps	+	[hibscs]	weak	
ihf	dusb	+	[bpp, gea, hibscs, sm]	strong	
ihf	envz	-	[bpp, sm]	strong	
ihf	fhla	+	[bpp, gea, hibscs]	strong	
ihf	fima	+	[gea, hibscs]	weak	
ihf	fimb	+	[bpp, hibscs, sm]	strong	
ihf	fimc	+	[gea, hibscs]	weak	
ihf	fimd	+	[gea, hibscs]	weak	
ihf	fimf	+	[gea, hibscs]	weak	
ihf	fimg	+	[gea, hibscs]	weak	
ihf	fimh	+	[gea, hibscs]	weak	
ihf	fimi	+	[gea, hibscs]	weak	
ihf	fis	+	[bpp, gea, hibscs, sm]	strong	
ihf	flhc	-	[hibscs]	weak	
ihf	flhd	-	[hibscs]	weak	
ihf	fnr	+	[bpp, gea, sm]	strong	
ihf	foca	+	[bce, bpp, gea, hibscs, sm]	weak	
ihf	fola	+	[gea, hibscs]	weak	
ihf	gcd	+	[gea, hibscs, sm]	weak	
ihf	glca	+	[bce, gea]	weak	
ihf	glcb	+	[bce, gea]	weak	
ihf	glcd	+	[bce, gea]	weak	
ihf	glce	+	[bce, gea]	weak	
ihf	glcf	+	[bce, gea]	weak	
ihf	glcg	+	[bce, gea]	weak	
ihf	glmy	+	[bpp, gea, hibscs, sm]	strong	
ihf	glnh	+	[bpp, hibscs, sm]	strong	
ihf	glnp	+	[bpp, hibscs, sm]	strong	
ihf	glnq	+	[bpp, hibscs, sm]	strong	
ihf	glpq	-	[bpp, gea, hibscs]	strong	
ihf	glpt	-	[bpp, gea, hibscs]	strong	
ihf	glta	+	[aibscs, bce, gea]	weak	
ihf	gltb	+	[bpp, gea]	strong	
ihf	gltd	+	[bpp, gea]	strong	
ihf	gltf	+	[bpp, gea]	strong	
ihf	hema	+	[gea]	weak	
ihf	hemf	-	[hibscs]	weak	
ihf	hipa	+	[hibscs]	weak	
ihf	hipb	+	[hibscs]	weak	
ihf	hpt	-	[gea, hibscs, sm]	weak	
ihf	htre	+	[gea]	weak	
ihf	hyca	+	[bpp, gea, hibscs]	strong	
ihf	hycb	+	[bpp, gea, hibscs]	strong	
ihf	hycc	+	[bpp, gea, hibscs]	strong	
ihf	hycd	+	[bpp, gea, hibscs]	strong	
ihf	hyce	+	[bpp, gea, hibscs]	strong	
ihf	hycf	+	[bpp, gea, hibscs]	strong	
ihf	hycg	+	[bpp, gea, hibscs]	strong	
ihf	hych	+	[bpp, gea, hibscs]	strong	
ihf	hyci	+	[bpp, gea, hibscs]	strong	
ihf	hypa	+	[bpp, gea, hibscs]	strong	
ihf	hypb	+	[bpp, gea, hibscs]	strong	
ihf	hypc	+	[bpp, gea, hibscs]	strong	
ihf	hypd	+	[bpp, gea, hibscs]	strong	
ihf	hype	+	[bpp, gea, hibscs]	strong	
ihf	ibpb	+	[aibscs]	weak	
ihf	ihfa	-	[bpp, hibscs]	strong	
ihf	ihfb	-	[bpp, gea]	strong	
ihf	ilva	+	[bpp, gea, hibscs, sm]	strong	
ihf	ilva	-	[bpp, gea, hibscs, sm]	strong	
ihf	ilvd	+	[bpp, gea, hibscs, sm]	strong	
ihf	ilvd	-	[bpp, gea, hibscs, sm]	strong	
ihf	ilve	+	[bpp, gea, hibscs, sm]	strong	
ihf	ilve	-	[bpp, gea, hibscs, sm]	strong	
ihf	ilvg_1	+	[bpp, gea, hibscs, sm]	strong	
ihf	ilvg_1	-	[bpp, gea, hibscs, sm]	strong	
ihf	ilvg_2	+	[bpp, gea, hibscs, sm]	strong	
ihf	ilvg_2	-	[bpp, gea, hibscs, sm]	strong	
ihf	ilvl	+	[bpp, gea, hibscs, sm]	strong	
ihf	ilvl	-	[bpp, gea, hibscs, sm]	strong	
ihf	ilvm	+	[bpp, gea, hibscs, sm]	strong	
ihf	ilvm	-	[bpp, gea, hibscs, sm]	strong	
ihf	ilvx	+	[bpp, gea, hibscs, sm]	strong	
ihf	ilvx	-	[bpp, gea, hibscs, sm]	strong	
ihf	lyxk	+	[bpp, gea, hibscs, sm]	strong	
ihf	micf	-	[bce, bpp, gea, hibscs]	weak	
ihf	mtr	-	[gea]	weak	
ihf	narg	+	[bce, bpp, gea, hibscs]	weak	
ihf	narh	+	[bce, bpp, gea, hibscs]	weak	
ihf	nari	+	[bce, bpp, gea, hibscs]	weak	
ihf	narj	+	[bce, bpp, gea, hibscs]	weak	
ihf	nark	+	[bpp, gea]	strong	
ihf	ndh	-	[bce, bpp, gea, hibscs]	weak	
ihf	nirb	+	[bpp, gea, hibscs]	strong	
ihf	nirb	-	[bce, bpp, gea]	weak	
ihf	nirc	+	[bpp, gea, hibscs]	strong	
ihf	nirc	-	[bce, bpp, gea]	weak	
ihf	nird	+	[bpp, gea, hibscs]	strong	
ihf	nird	-	[bce, bpp, gea]	weak	
ihf	nmpc	-	[hibscs, sm]	weak	
ihf	norv	+	[bpp]	strong	
ihf	norv	-	[bpp]	strong	
ihf	norw	+	[bpp]	strong	
ihf	norw	-	[bpp]	strong	
ihf	nrfa	+	[aibscs, bpp, gea, sm]	weak	
ihf	nrfa	-	[bpp, gea]	strong	
ihf	nrfb	+	[aibscs, bpp, gea, sm]	weak	
ihf	nrfb	-	[bpp, gea]	strong	
ihf	nrfc	+	[aibscs, bpp, gea, sm]	weak	
ihf	nrfc	-	[bpp, gea]	strong	
ihf	nrfd	+	[aibscs, bpp, gea, sm]	weak	
ihf	nrfd	-	[bpp, gea]	strong	
ihf	nrfe	+	[aibscs, bpp, gea, sm]	weak	
ihf	nrfe	-	[bpp, gea]	strong	
ihf	nrff	+	[aibscs, bpp, gea, sm]	weak	
ihf	nrff	-	[bpp, gea]	strong	
ihf	nrfg	+	[aibscs, bpp, gea, sm]	weak	
ihf	nrfg	-	[bpp, gea]	strong	
ihf	nuoa	-	[bpp, gea, hibscs, sm]	strong	
ihf	nuob	-	[bpp, gea, hibscs, sm]	strong	
ihf	nuoc	-	[bpp, gea, hibscs, sm]	strong	
ihf	nuoe	-	[bpp, gea, hibscs, sm]	strong	
ihf	nuof	-	[bpp, gea, hibscs, sm]	strong	
ihf	nuog	-	[bpp, gea, hibscs, sm]	strong	
ihf	nuoh	-	[bpp, gea, hibscs, sm]	strong	
ihf	nuoi	-	[bpp, gea, hibscs, sm]	strong	
ihf	nuoj	-	[bpp, gea, hibscs, sm]	strong	
ihf	nuok	-	[bpp, gea, hibscs, sm]	strong	
ihf	nuol	-	[bpp, gea, hibscs, sm]	strong	
ihf	nuom	-	[bpp, gea, hibscs, sm]	strong	
ihf	nuon	-	[bpp, gea, hibscs, sm]	strong	
ihf	ompc	-	[bce, bpp, gea, hibscs]	weak	
ihf	ompf	+	[bce, hibscs]	weak	
ihf	ompf	-	[bce, hibscs]	weak	
ihf	ompr	-	[bpp, sm]	strong	
ihf	osme	-	[gea, hibscs]	weak	
ihf	osmy	-	[bce, bpp, gea, hibscs]	weak	
ihf	paaa	+	[bpp, gea, hibscs, sm]	strong	
ihf	paab	+	[bpp, gea, hibscs, sm]	strong	
ihf	paac	+	[bpp, gea, hibscs, sm]	strong	
ihf	paad	+	[bpp, gea, hibscs, sm]	strong	
ihf	paae	+	[bpp, gea, hibscs, sm]	strong	
ihf	paaf	+	[bpp, gea, hibscs, sm]	strong	
ihf	paag	+	[bpp, gea, hibscs, sm]	strong	
ihf	paah	+	[bpp, gea, hibscs, sm]	strong	
ihf	paai	+	[bpp, gea, hibscs, sm]	strong	
ihf	paaj	+	[bpp, gea, hibscs, sm]	strong	
ihf	paak	+	[bpp, gea, hibscs, sm]	strong	
ihf	paaz	+	[bpp, gea, hibscs, sm]	strong	
ihf	pata	?	[aibscs]	weak	
ihf	pflb	+	[bce, bpp, gea, hibscs, sm]	weak	
ihf	phou	+	[bpp, gea]	strong	
ihf	prfa	+	[gea]	weak	
ihf	prmc	+	[gea]	weak	
ihf	prov	+	[bpp, gea]	strong	
ihf	prow	+	[bpp, gea]	strong	
ihf	prox	+	[bpp, gea]	strong	
ihf	pspa	+	[bce, bpp, gea, hibscs]	weak	
ihf	pspb	+	[bce, bpp, gea, hibscs]	weak	
ihf	pspc	+	[bce, bpp, gea, hibscs]	weak	
ihf	pspd	+	[bce, bpp, gea, hibscs]	weak	
ihf	pspe	+	[bce, bpp, gea, hibscs]	weak	
ihf	pspg	+	[ica]	weak	
ihf	psta	+	[bpp, gea]	strong	
ihf	pstb	+	[bpp, gea]	strong	
ihf	pstc	+	[bpp, gea]	strong	
ihf	psts	+	[bpp, gea]	strong	
ihf	rpoe	+	[hibscs, ic]	weak	
ihf	rpoh	+	[bpp, gea]	strong	
ihf	rsea	+	[hibscs, ic]	weak	
ihf	rseb	+	[hibscs, ic]	weak	
ihf	rsec	+	[hibscs, ic]	weak	
ihf	rtca	+	[aibscs]	weak	
ihf	rtcb	+	[aibscs]	weak	
ihf	sgbe	+	[bpp, gea, hibscs, sm]	strong	
ihf	sgbh	+	[bpp, gea, hibscs, sm]	strong	
ihf	sgbu	+	[bpp, gea, hibscs, sm]	strong	
ihf	soda	-	[bpp, hibscs]	strong	
ihf	sodb	-	[aibscs, gea]	weak	
ihf	sra	+	[gea]	weak	
ihf	ssua	+	[bpp, gea, hibscs]	strong	
ihf	ssua	-	[bpp, gea, hibscs]	strong	
ihf	ssub	+	[bpp, gea, hibscs]	strong	
ihf	ssub	-	[bpp, gea, hibscs]	strong	
ihf	ssuc	+	[bpp, gea, hibscs]	strong	
ihf	ssuc	-	[bpp, gea, hibscs]	strong	
ihf	ssud	+	[bpp, gea, hibscs]	strong	
ihf	ssud	-	[bpp, gea, hibscs]	strong	
ihf	ssue	+	[bpp, gea, hibscs]	strong	
ihf	ssue	-	[bpp, gea, hibscs]	strong	
ihf	suca	-	[aibscs, gea]	weak	
ihf	sucb	-	[aibscs, gea]	weak	
ihf	succ	-	[aibscs, gea]	weak	
ihf	sucd	-	[aibscs, gea]	weak	
ihf	sufa	+	[bpp, sm]	strong	
ihf	sufb	+	[bpp, sm]	strong	
ihf	sufc	+	[bpp, sm]	strong	
ihf	sufd	+	[bpp, sm]	strong	
ihf	sufe	+	[bpp, sm]	strong	
ihf	sufs	+	[bpp, sm]	strong	
ihf	tdca	+	[bce, bpp, hibscs, sm]	weak	
